binary;function;function count;common linux file;networking;
/usr/bin/iwpriv (-rwxr-xr-x root root);printf;18;true;no;
/usr/bin/flash_eraseall (-rwxr-xr-x root root);printf;4;false;no;
/usr/lib/libFVsystem.so (-rw-r--r-- root root);strcpy;7;false;no;
/usr/lib/libEMail.so (-rw-r--r-- root root);strcat;6;false;no;
/usr/bin/iwpriv (-rwxr-xr-x root root);sprintf;24;true;no;
/lib/libpthread-0.9.30.3.so (-rwxr-xr-x 500 500);mmap;1;false;no;
/usr/lib/libFVsystem.so (-rw-r--r-- root root);system;5;false;no;
/lib/libcrypt-0.9.30.3.so (-rwxr-xr-x 500 500);strcat;1;false;no;
/usr/lib/libEMail.so (-rw-r--r-- root root);strcpy;9;false;no;
/usr/bin/iwpriv (-rwxr-xr-x root root);strcpy;18;true;no;
/lib/libcurl.so.4.3.0 (-rwxr-xr-x root root);sprintf;1;false;yes;
/lib/libdl-0.9.30.3.so (-rwxr-xr-x 500 500);fprintf;5;false;no;
/lib/libm-0.9.30.3.so (-rwxr-xr-x 500 500);sprintf;2;false;no;
/lib/libstdc++.so.6.0.13 (-rwxr-xr-x 500 500);sprintf;5;false;no;
/lib/libcrypt-0.9.30.3.so (-rwxr-xr-x 500 500);strcpy;1;false;no;
/mydlink/dcp (-rwxr-xr-x root root);fprintf;3;false;yes;
/mydlink/httpd_check (-rwxr-xr-x root root);printf;2;false;no;
/lib/libcurl.so.4.3.0 (-rwxr-xr-x root root);strcpy;1;false;yes;
/mydlink/tsa (-rwxr-xr-x root root);fprintf;4;false;yes;
/mydlink/signalc (-rwxr-xr-x root root);fprintf;30;false;yes;
/mydlink/upnpc-ddns (-rwxr-xr-x root root);fprintf;346;false;yes;
/mydlink/dcp (-rwxr-xr-x root root);popen;1;false;yes;
/mydlink/httpd_check (-rwxr-xr-x root root);sprintf;2;false;no;
/server/camsvr (-rwxr-xr-x root root);fprintf;121;false;no;
/web/httpd (-rwxr-xr-x root root);fprintf;220;true;no;
/mydlink/tsa (-rwxr-xr-x root root);popen;1;false;yes;
/lib/libstdc++.so.6.0.13 (-rwxr-xr-x 500 500);strcpy;1;false;no;
/mydlink/signalc (-rwxr-xr-x root root);popen;2;false;yes;
/web/cgi-bin/config/upnp.cgi (-rwxr-xr-x root root);system;4;false;no;
/mydlink/upnpc-ddns (-rwxr-xr-x root root);popen;2;false;yes;
/mydlink/dcp (-rwxr-xr-x root root);printf;1;false;yes;
/web/cgi-bin/config/user_mod.cgi (-rwxr-xr-x root root);fprintf;5;false;no;
/web/httpd (-rwxr-xr-x root root);mmap;1;true;no;
/server/camsvr (-rwxr-xr-x root root);mmap;1;false;no;
